"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:42:24"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_accelerations"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Accelerations"

".horus.simu100max_swept.chassis_accelerations.TIME"	".horus.simu100max_swept.chassis_accelerations.longitudinal"	".horus.simu100max_swept.chassis_accelerations.lateral"	".horus.simu100max_swept.chassis_accelerations.vertical"	".horus.simu100max_swept.chassis_accelerations.corrected_lateral"	".horus.simu100max_swept.chassis_accelerations.roll"	".horus.simu100max_swept.chassis_accelerations.pitch"	".horus.simu100max_swept.chassis_accelerations.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.950467e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.511501e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.468425e-05	0.000000e+00	0.000000e+00	2.511497e-04	1.430439e-05	6.921672e-03	0.000000e+00
1.000000e-02	1.151934e-05	0.000000e+00	1.393523e-06	2.511454e-04	2.234506e-05	4.009660e-03	1.313444e-05
2.000000e-02	9.958808e-06	0.000000e+00	1.746308e-06	2.511410e-04	1.204990e-05	2.734070e-03	1.481808e-05
3.000000e-02	8.923214e-06	0.000000e+00	1.666822e-06	2.511368e-04	0.000000e+00	1.886566e-03	1.690404e-05
4.000000e-02	8.310551e-06	0.000000e+00	1.342145e-06	2.511329e-04	0.000000e+00	1.302546e-03	1.898008e-05
5.000000e-02	8.015397e-06	0.000000e+00	9.065923e-07	2.511294e-04	-1.172459e-05	8.723116e-04	2.086686e-05
6.000000e-02	7.933344e-06	0.000000e+00	4.470572e-07	2.511264e-04	-1.626322e-05	5.283989e-04	2.244851e-05
7.000000e-02	7.973534e-06	0.000000e+00	0.000000e+00	2.511237e-04	-1.899960e-05	2.348575e-04	2.364227e-05
8.000000e-02	8.066628e-06	0.000000e+00	-3.627727e-07	2.511214e-04	-2.013120e-05	-2.370174e-05	2.439720e-05
9.000000e-02	8.167080e-06	0.000000e+00	-6.732818e-07	2.511193e-04	-1.995409e-05	-2.509638e-04	2.469705e-05
1.000000e-01	8.251461e-06	0.000000e+00	-9.131876e-07	2.511173e-04	-1.880364e-05	-4.448931e-04	2.455627e-05
1.100000e-01	8.314769e-06	0.000000e+00	-1.084066e-06	2.511152e-04	-1.700707e-05	-6.012776e-04	2.401625e-05
1.200000e-01	8.355434e-06	0.000000e+00	-1.189473e-06	2.511130e-04	-1.487475e-05	-7.213685e-04	2.312752e-05
1.300000e-01	8.367498e-06	0.000000e+00	-1.235072e-06	2.511106e-04	-1.268227e-05	-8.120047e-04	2.193555e-05
1.400000e-01	8.350064e-06	0.000000e+00	-1.230066e-06	2.511079e-04	-1.062599e-05	-8.769141e-04	2.048724e-05
1.500000e-01	8.307659e-06	0.000000e+00	-1.185069e-06	2.511050e-04	-8.821631e-06	-9.175100e-04	1.883358e-05
1.600000e-01	8.247694e-06	0.000000e+00	-1.110295e-06	2.511017e-04	-7.317408e-06	-9.346973e-04	1.702781e-05
1.700000e-01	8.177928e-06	0.000000e+00	-1.014648e-06	2.510981e-04	-6.111427e-06	-9.299867e-04	1.512327e-05
1.800000e-01	8.104830e-06	0.000000e+00	-9.054918e-07	2.510942e-04	0.000000e+00	-9.058177e-04	1.317119e-05
1.900000e-01	8.032905e-06	0.000000e+00	-7.887859e-07	2.510902e-04	0.000000e+00	-8.653829e-04	1.121853e-05
2.000000e-01	7.964707e-06	0.000000e+00	-6.693304e-07	2.510859e-04	0.000000e+00	-8.122575e-04	9.306207e-06
2.100000e-01	7.901217e-06	0.000000e+00	-5.509964e-07	2.510815e-04	0.000000e+00	-7.500338e-04	7.468417e-06
2.200000e-01	7.842347e-06	0.000000e+00	-4.368931e-07	2.510770e-04	0.000000e+00	-6.820490e-04	5.732316e-06
2.300000e-01	7.787409e-06	0.000000e+00	-3.294787e-07	2.510724e-04	0.000000e+00	-6.112244e-04	0.000000e+00
2.400000e-01	7.735478e-06	0.000000e+00	-2.306329e-07	2.510679e-04	0.000000e+00	-5.399980e-04	0.000000e+00
2.500000e-01	7.685632e-06	0.000000e+00	-1.417122e-07	2.510633e-04	0.000000e+00	-4.703190e-04	0.000000e+00
2.600000e-01	7.637085e-06	0.000000e+00	0.000000e+00	2.510588e-04	0.000000e+00	-4.036796e-04	0.000000e+00
2.700000e-01	7.589235e-06	0.000000e+00	0.000000e+00	2.510544e-04	0.000000e+00	-3.411640e-04	0.000000e+00
2.800000e-01	7.541671e-06	0.000000e+00	0.000000e+00	2.510501e-04	0.000000e+00	-2.835046e-04	0.000000e+00
2.900000e-01	7.494141e-06	0.000000e+00	1.029777e-07	2.510460e-04	0.000000e+00	-2.311380e-04	0.000000e+00
3.000000e-01	7.446515e-06	-1.030632e-07	1.365343e-07	2.510420e-04	0.000000e+00	-1.842569e-04	0.000000e+00
3.100000e-01	7.398744e-06	-1.066148e-07	1.600068e-07	2.510382e-04	0.000000e+00	-1.428585e-04	0.000000e+00
3.200000e-01	7.350831e-06	-1.099909e-07	1.741809e-07	2.510345e-04	0.000000e+00	-1.067882e-04	0.000000e+00
3.300000e-01	7.302802e-06	-1.131831e-07	1.799406e-07	2.510311e-04	0.000000e+00	-7.577771e-05	0.000000e+00
3.400000e-01	7.254692e-06	-1.161850e-07	1.782292e-07	2.510278e-04	0.000000e+00	-4.947792e-05	0.000000e+00
3.500000e-01	7.206536e-06	-1.189921e-07	1.700161e-07	2.510248e-04	0.000000e+00	-2.748751e-05	0.000000e+00
3.600000e-01	7.158357e-06	-1.216017e-07	1.562685e-07	2.510219e-04	6.093770e-06	-9.376249e-06	0.000000e+00
3.700000e-01	7.110176e-06	-1.240131e-07	1.379292e-07	2.510193e-04	6.473833e-06	0.000000e+00	0.000000e+00
3.800000e-01	7.062002e-06	-1.262267e-07	1.158988e-07	2.510169e-04	6.777846e-06	1.696298e-05	0.000000e+00
3.900000e-01	7.013841e-06	-1.282438e-07	0.000000e+00	2.510146e-04	7.008856e-06	2.604296e-05	0.000000e+00
4.000000e-01	6.965695e-06	-1.300675e-07	0.000000e+00	2.510126e-04	7.170990e-06	3.292770e-05	0.000000e+00
4.100000e-01	6.917565e-06	-1.317015e-07	0.000000e+00	2.510108e-04	7.269204e-06	3.797755e-05	0.000000e+00
4.200000e-01	6.869450e-06	-1.331507e-07	0.000000e+00	2.510092e-04	7.309663e-06	4.151784e-05	0.000000e+00
4.300000e-01	6.821354e-06	-1.344203e-07	0.000000e+00	2.510078e-04	7.298813e-06	4.383710e-05	0.000000e+00
4.400000e-01	6.773279e-06	-1.355164e-07	0.000000e+00	2.510066e-04	7.242955e-06	4.518647e-05	0.000000e+00
4.500000e-01	6.725230e-06	-1.364459e-07	0.000000e+00	2.510055e-04	7.147521e-06	4.578071e-05	0.000000e+00
4.600000e-01	6.677214e-06	-1.372157e-07	-1.064606e-07	2.510046e-04	7.018406e-06	4.580011e-05	0.000000e+00
4.700000e-01	6.629237e-06	-1.378331e-07	-1.321270e-07	2.510039e-04	6.860841e-06	4.539317e-05	0.000000e+00
4.800000e-01	6.581308e-06	-1.383058e-07	-1.561924e-07	2.510033e-04	6.679241e-06	4.467899e-05	0.000000e+00
