"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:42:24"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_velocities"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Velocities"

".horus.simu100max_swept.chassis_velocities.TIME"	".horus.simu100max_swept.chassis_velocities.longitudinal"	".horus.simu100max_swept.chassis_velocities.lateral"	".horus.simu100max_swept.chassis_velocities.vertical"	".horus.simu100max_swept.chassis_velocities.roll"	".horus.simu100max_swept.chassis_velocities.pitch"	".horus.simu100max_swept.chassis_velocities.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	9.997829e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	9.997768e+01	1.097010e-01	-2.110321e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	9.997768e+01	1.097010e-01	-2.110321e+00	0.000000e+00	4.704876e-05	0.000000e+00
2.000000e-02	9.997769e+01	1.097010e-01	-2.110322e+00	0.000000e+00	7.438946e-05	0.000000e+00
3.000000e-02	9.997769e+01	1.097010e-01	-2.110323e+00	0.000000e+00	9.325512e-05	0.000000e+00
4.000000e-02	9.997769e+01	1.097010e-01	-2.110324e+00	0.000000e+00	1.062806e-04	0.000000e+00
5.000000e-02	9.997769e+01	1.097010e-01	-2.110326e+00	0.000000e+00	1.150037e-04	0.000000e+00
6.000000e-02	9.997770e+01	1.097010e-01	-2.110328e+00	0.000000e+00	1.202877e-04	0.000000e+00
7.000000e-02	9.997770e+01	1.097010e-01	-2.110330e+00	0.000000e+00	1.226363e-04	0.000000e+00
8.000000e-02	9.997770e+01	1.097010e-01	-2.110332e+00	0.000000e+00	1.223992e-04	0.000000e+00
9.000000e-02	9.997771e+01	1.097010e-01	-2.110335e+00	0.000000e+00	1.198896e-04	0.000000e+00
1.000000e-01	9.997771e+01	1.097011e-01	-2.110337e+00	0.000000e+00	1.154407e-04	0.000000e+00
1.100000e-01	9.997771e+01	1.097011e-01	-2.110339e+00	0.000000e+00	1.094279e-04	0.000000e+00
1.200000e-01	9.997771e+01	1.097011e-01	-2.110341e+00	0.000000e+00	1.022142e-04	0.000000e+00
1.300000e-01	9.997772e+01	1.097012e-01	-2.110343e+00	0.000000e+00	9.409417e-05	0.000000e+00
1.400000e-01	9.997772e+01	1.097012e-01	-2.110345e+00	0.000000e+00	8.532503e-05	0.000000e+00
1.500000e-01	9.997772e+01	1.097012e-01	-2.110347e+00	0.000000e+00	7.614993e-05	0.000000e+00
1.600000e-01	9.997773e+01	1.097013e-01	-2.110349e+00	0.000000e+00	6.680295e-05	0.000000e+00
1.700000e-01	9.997773e+01	1.097013e-01	-2.110350e+00	0.000000e+00	5.750309e-05	0.000000e+00
1.800000e-01	9.997773e+01	1.097014e-01	-2.110351e+00	0.000000e+00	4.844491e-05	0.000000e+00
1.900000e-01	9.997773e+01	1.097014e-01	-2.110352e+00	0.000000e+00	3.979108e-05	0.000000e+00
2.000000e-01	9.997774e+01	1.097015e-01	-2.110353e+00	0.000000e+00	3.166851e-05	0.000000e+00
2.100000e-01	9.997774e+01	1.097015e-01	-2.110354e+00	0.000000e+00	2.416817e-05	0.000000e+00
2.200000e-01	9.997774e+01	1.097015e-01	-2.110354e+00	0.000000e+00	1.734768e-05	0.000000e+00
2.300000e-01	9.997775e+01	1.097016e-01	-2.110354e+00	0.000000e+00	1.123544e-05	0.000000e+00
2.400000e-01	9.997775e+01	1.097016e-01	-2.110355e+00	0.000000e+00	5.835456e-06	0.000000e+00
2.500000e-01	9.997775e+01	1.097017e-01	-2.110355e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	9.997775e+01	1.097017e-01	-2.110355e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e-01	9.997776e+01	1.097017e-01	-2.110354e+00	0.000000e+00	-6.316170e-06	0.000000e+00
2.800000e-01	9.997776e+01	1.097018e-01	-2.110354e+00	0.000000e+00	-9.151216e-06	0.000000e+00
2.900000e-01	9.997776e+01	1.097018e-01	-2.110354e+00	0.000000e+00	-1.146260e-05	0.000000e+00
3.000000e-01	9.997776e+01	1.097018e-01	-2.110354e+00	0.000000e+00	-1.330517e-05	0.000000e+00
3.100000e-01	9.997777e+01	1.097019e-01	-2.110353e+00	0.000000e+00	-1.473375e-05	0.000000e+00
3.200000e-01	9.997777e+01	1.097019e-01	-2.110353e+00	0.000000e+00	-1.580163e-05	0.000000e+00
3.300000e-01	9.997777e+01	1.097019e-01	-2.110353e+00	0.000000e+00	-1.655941e-05	0.000000e+00
3.400000e-01	9.997777e+01	1.097020e-01	-2.110352e+00	0.000000e+00	-1.705419e-05	0.000000e+00
