"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:42:24"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"TR_Steering"	"  Assembly"	"     (N/A)"	"     (N/A)"	"Result Container"

".horus.simu100max_swept.TR_Steering.steering_Input.TIME"	".horus.simu100max_swept.TR_Steering.steering_Input.steering_wheel_angle_front"	".horus.simu100max_swept.TR_Steering.steering_Input.pitman_arm_rotation_or_rack_travel_front"	".horus.simu100max_swept.TR_Steering.steering_Input.diff_btwn_pitman_arm_rot_and_steering_gear_rot_front"	".horus.simu100max_swept.TR_Steering.steering_Input.steering_wheel_angle_at_adams_joint_front"	".horus.simu100max_swept.TR_Steering.steering_Input.steering_system_angular_compliance_front"	".horus.simu100max_swept.TR_Steering.steering_Input.angle_at_column_sim_stat_joint_front"
0.000000e+00	1.108225e-14	-1.755939e-05	0.000000e+00	-1.989400e-15	0.000000e+00	1.307165e-14
0.000000e+00	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
0.000000e+00	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
4.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
5.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
6.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
7.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
8.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
9.000000e-02	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.000000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.100000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.200000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.300000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.400000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.500000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.600000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.700000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.800000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
1.900000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.000000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.100000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.200000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.300000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.400000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.500000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.600000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.700000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.800000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
2.900000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.000000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.100000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.200000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.300000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.400000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.500000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
3.600000e-01	8.310706e-01	-8.828113e-02	0.000000e+00	8.310706e-01	0.000000e+00	0.000000e+00
