"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:31:10"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_accelerations"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Accelerations"

".horus.simu40min_swept.chassis_accelerations.TIME"	".horus.simu40min_swept.chassis_accelerations.longitudinal"	".horus.simu40min_swept.chassis_accelerations.lateral"	".horus.simu40min_swept.chassis_accelerations.vertical"	".horus.simu40min_swept.chassis_accelerations.corrected_lateral"	".horus.simu40min_swept.chassis_accelerations.roll"	".horus.simu40min_swept.chassis_accelerations.pitch"	".horus.simu40min_swept.chassis_accelerations.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.049628e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.316677e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.602978e-06	0.000000e+00	0.000000e+00	4.316676e-04	0.000000e+00	1.214811e-03	0.000000e+00
1.000000e-02	2.312581e-06	0.000000e+00	0.000000e+00	4.316678e-04	0.000000e+00	9.066342e-04	0.000000e+00
2.000000e-02	2.289906e-06	0.000000e+00	0.000000e+00	4.316676e-04	0.000000e+00	6.877201e-04	0.000000e+00
3.000000e-02	2.287315e-06	0.000000e+00	0.000000e+00	4.316673e-04	0.000000e+00	4.673409e-04	0.000000e+00
4.000000e-02	2.286502e-06	0.000000e+00	0.000000e+00	4.316667e-04	0.000000e+00	2.658116e-04	0.000000e+00
5.000000e-02	2.279876e-06	0.000000e+00	0.000000e+00	4.316660e-04	0.000000e+00	9.588691e-05	0.000000e+00
6.000000e-02	2.263776e-06	0.000000e+00	0.000000e+00	4.316653e-04	0.000000e+00	-3.727227e-05	0.000000e+00
7.000000e-02	2.236940e-06	0.000000e+00	0.000000e+00	4.316645e-04	0.000000e+00	-1.336768e-04	0.000000e+00
8.000000e-02	2.200227e-06	0.000000e+00	0.000000e+00	4.316638e-04	0.000000e+00	-1.964089e-04	0.000000e+00
9.000000e-02	2.156472e-06	0.000000e+00	0.000000e+00	4.316632e-04	0.000000e+00	-2.300962e-04	0.000000e+00
1.000000e-01	2.110282e-06	0.000000e+00	0.000000e+00	4.316626e-04	0.000000e+00	-2.398517e-04	0.000000e+00
1.100000e-01	2.067799e-06	0.000000e+00	0.000000e+00	4.316623e-04	0.000000e+00	-2.305706e-04	0.000000e+00
1.200000e-01	2.032559e-06	0.000000e+00	0.000000e+00	4.316621e-04	0.000000e+00	-2.081257e-04	0.000000e+00
1.300000e-01	2.003178e-06	0.000000e+00	0.000000e+00	4.316621e-04	0.000000e+00	-1.792847e-04	0.000000e+00
1.400000e-01	1.977218e-06	0.000000e+00	0.000000e+00	4.316622e-04	0.000000e+00	-1.492742e-04	0.000000e+00
1.500000e-01	1.952716e-06	0.000000e+00	0.000000e+00	4.316625e-04	0.000000e+00	-1.215012e-04	0.000000e+00
1.600000e-01	1.928496e-06	0.000000e+00	0.000000e+00	4.316630e-04	0.000000e+00	-9.781151e-05	0.000000e+00
1.700000e-01	1.904031e-06	0.000000e+00	0.000000e+00	4.316636e-04	0.000000e+00	-7.887663e-05	0.000000e+00
1.800000e-01	1.879207e-06	0.000000e+00	0.000000e+00	4.316643e-04	0.000000e+00	-6.457721e-05	0.000000e+00
1.900000e-01	1.854118e-06	0.000000e+00	0.000000e+00	4.316652e-04	0.000000e+00	-5.433116e-05	0.000000e+00
2.000000e-01	1.828924e-06	0.000000e+00	0.000000e+00	4.316660e-04	0.000000e+00	-4.734502e-05	0.000000e+00
2.100000e-01	1.803778e-06	0.000000e+00	0.000000e+00	4.316670e-04	0.000000e+00	-4.278763e-05	0.000000e+00
2.200000e-01	1.778793e-06	0.000000e+00	0.000000e+00	4.316679e-04	0.000000e+00	-3.989706e-05	0.000000e+00
2.300000e-01	1.754037e-06	0.000000e+00	0.000000e+00	4.316688e-04	0.000000e+00	-3.803669e-05	0.000000e+00
2.400000e-01	1.729542e-06	0.000000e+00	0.000000e+00	4.316697e-04	0.000000e+00	-3.671553e-05	0.000000e+00
2.500000e-01	1.705315e-06	0.000000e+00	0.000000e+00	4.316706e-04	0.000000e+00	-3.558451e-05	0.000000e+00
2.600000e-01	1.681352e-06	0.000000e+00	0.000000e+00	4.316714e-04	0.000000e+00	-3.441992e-05	0.000000e+00
2.700000e-01	1.657640e-06	0.000000e+00	0.000000e+00	4.316722e-04	0.000000e+00	-3.309943e-05	0.000000e+00
2.800000e-01	1.634166e-06	0.000000e+00	0.000000e+00	4.316729e-04	0.000000e+00	-3.157698e-05	0.000000e+00
2.900000e-01	1.610920e-06	0.000000e+00	0.000000e+00	4.316736e-04	0.000000e+00	-2.985951e-05	0.000000e+00
3.000000e-01	1.587893e-06	0.000000e+00	0.000000e+00	4.316742e-04	0.000000e+00	-2.798671e-05	0.000000e+00
3.100000e-01	1.565078e-06	0.000000e+00	0.000000e+00	4.316748e-04	0.000000e+00	-2.601456e-05	0.000000e+00
3.200000e-01	1.542472e-06	0.000000e+00	0.000000e+00	4.316753e-04	0.000000e+00	-2.400288e-05	0.000000e+00
3.300000e-01	1.520267e-06	0.000000e+00	0.000000e+00	4.316746e-04	0.000000e+00	-2.268899e-05	0.000000e+00
3.400000e-01	1.497733e-06	0.000000e+00	0.000000e+00	4.316763e-04	0.000000e+00	-1.975551e-05	0.000000e+00
3.500000e-01	1.475894e-06	0.000000e+00	0.000000e+00	4.316767e-04	0.000000e+00	-1.816361e-05	0.000000e+00
3.600000e-01	1.454081e-06	0.000000e+00	0.000000e+00	4.316771e-04	0.000000e+00	-1.645734e-05	0.000000e+00
3.700000e-01	1.432473e-06	0.000000e+00	0.000000e+00	4.316773e-04	0.000000e+00	-1.488476e-05	0.000000e+00
3.800000e-01	1.411073e-06	0.000000e+00	0.000000e+00	4.316776e-04	0.000000e+00	-1.346344e-05	0.000000e+00
3.900000e-01	1.389870e-06	0.000000e+00	0.000000e+00	4.316778e-04	0.000000e+00	-1.218650e-05	0.000000e+00
4.000000e-01	1.368861e-06	0.000000e+00	0.000000e+00	4.316781e-04	0.000000e+00	-1.104232e-05	0.000000e+00
4.100000e-01	1.348044e-06	0.000000e+00	0.000000e+00	4.316784e-04	0.000000e+00	-1.001827e-05	0.000000e+00
4.200000e-01	1.327418e-06	0.000000e+00	0.000000e+00	4.316786e-04	0.000000e+00	-9.101490e-06	0.000000e+00
4.300000e-01	1.306981e-06	0.000000e+00	0.000000e+00	4.316789e-04	0.000000e+00	-8.279022e-06	0.000000e+00
4.400000e-01	1.286732e-06	0.000000e+00	0.000000e+00	4.316791e-04	0.000000e+00	-7.538827e-06	0.000000e+00
4.500000e-01	1.266669e-06	0.000000e+00	0.000000e+00	4.316794e-04	0.000000e+00	-6.870258e-06	0.000000e+00
