"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:31:10"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_velocities"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Velocities"

".horus.simu40min_swept.chassis_velocities.TIME"	".horus.simu40min_swept.chassis_velocities.longitudinal"	".horus.simu40min_swept.chassis_velocities.lateral"	".horus.simu40min_swept.chassis_velocities.vertical"	".horus.simu40min_swept.chassis_velocities.roll"	".horus.simu40min_swept.chassis_velocities.pitch"	".horus.simu40min_swept.chassis_velocities.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	3.999034e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	3.999009e+01	4.219574e-02	8.890836e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	3.999009e+01	4.219574e-02	8.890836e-01	0.000000e+00	9.766583e-06	0.000000e+00
2.000000e-02	3.999009e+01	4.219574e-02	8.890835e-01	0.000000e+00	1.664378e-05	0.000000e+00
3.000000e-02	3.999009e+01	4.219574e-02	8.890834e-01	0.000000e+00	2.131719e-05	0.000000e+00
4.000000e-02	3.999009e+01	4.219574e-02	8.890832e-01	0.000000e+00	2.397531e-05	0.000000e+00
5.000000e-02	3.999010e+01	4.219574e-02	8.890831e-01	0.000000e+00	2.493418e-05	0.000000e+00
6.000000e-02	3.999010e+01	4.219574e-02	8.890830e-01	0.000000e+00	2.456145e-05	0.000000e+00
7.000000e-02	3.999010e+01	4.219574e-02	8.890828e-01	0.000000e+00	2.322469e-05	0.000000e+00
8.000000e-02	3.999010e+01	4.219574e-02	8.890827e-01	0.000000e+00	2.126060e-05	0.000000e+00
9.000000e-02	3.999010e+01	4.219574e-02	8.890826e-01	0.000000e+00	1.895963e-05	0.000000e+00
1.000000e-01	3.999010e+01	4.219574e-02	8.890825e-01	0.000000e+00	1.656112e-05	0.000000e+00
1.100000e-01	3.999010e+01	4.219573e-02	8.890824e-01	0.000000e+00	1.425541e-05	0.000000e+00
